Industry Name,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Steel,710,0.176912529,0.119831448,0.154744528,0.208086533,1.038746363,1.233985811,0.137272068,0.360549166,0.0695,0.321248887,0.109992345,1.532453885,0.682526309,4.242131006,5.496146871,1.033439244,34.01011228,0.141438421,0.04698646,0.031233064,0.690609405,0.195135858,0.344252662,0.344252662,0.119762799
Telecom (Wireless),99,0.039863867,0.146129078,0.071853805,0.268560389,0.599448695,0.835610525,0.10548172,0.27376892,0.0695,0.409971352,0.08370102,0.598756695,2.163933746,6.767435125,14.96903791,1.401686204,24.32780521,-0.065682265,0.170451182,0.010045621,0.234318497,0.059656101,0.94566204,0.94566204,0.143313453
Telecom. Equipment,461,0.044529399,0.108038831,0.121054464,0.167985526,1.17543667,1.198797838,0.134464067,0.355759575,0.0695,0.122715688,0.124387917,1.229678246,2.205668574,13.98213305,19.26732767,3.278906655,48.32999956,0.245476711,0.030967972,0.035067192,0.809790208,0.126993999,0.48118219,0.48118219,0.107624509
Telecom. Services,295,0.093719249,0.145647702,0.083002848,0.206368622,0.532863438,0.831204483,0.105130118,0.332345882,0.0695,0.45523285,0.081104855,0.663025286,2.093834198,6.814314302,14.3164914,1.340689091,38.64289325,0.008498171,0.154516912,0.00183983,0.063041372,0.097927581,0.639692746,0.639692746,0.145102803
Tobacco,56,0.098228649,0.334745594,0.200137286,0.268075487,0.775261138,0.892861319,0.110050333,0.28815133,0.0695,0.211505919,0.097847291,0.734831828,3.771488567,10.15743242,11.21727038,3.495834131,12.60223125,0.143265771,0.027114027,0.012922319,0.054294763,0.22341989,0.911807489,0.911807489,0.335333943
Transportation,302,0.107293445,0.078816807,0.127202641,0.239894175,0.830867984,1.01481104,0.119781921,0.310842973,0.0695,0.311459672,0.098780952,1.946084293,0.989000398,7.892759282,12.28904695,1.915434103,27.90755836,0.046289248,0.041407171,0.021304358,0.563712938,0.180475864,0.375904564,0.375904564,0.079018795
Transportation (Railroads),50,0.00513186,0.229375449,0.063106474,0.234554391,0.537712055,0.672614726,0.092474655,0.190464983,0.0618,0.280931739,0.079574069,0.352641412,4.951455019,14.39188294,21.52172066,2.523307188,47.92614607,0.056540294,0.155301977,0.081073848,0.497778504,0.107794428,0.422882135,0.422882135,0.227820259
Trucking,220,0.067412288,0.08182596,0.093259414,0.251377461,0.801030605,1.079662659,0.12495708,0.317964885,0.0695,0.370280061,0.098073737,1.268366209,1.458253201,7.181217895,13.57742015,2.30936254,20.39377409,0.061631285,0.090572486,0.065333099,1.295365099,0.048007667,0.472145453,0.472145453,0.087971143
Utility (General),51,0.077920222,0.114561198,0.076714423,0.189512357,0.445552291,0.680932854,0.093138442,0.183733384,0.0618,0.446474691,0.072339641,0.795925727,2.058719765,11.02243296,17.9208701,1.607781229,19.95992407,0.021882787,0.13919164,0.074413848,1.128112976,0.127068046,0.568081779,0.568081779,0.114170474
Utility (Water),104,0.079921733,0.233080272,0.060083723,0.195506447,0.485777678,0.740378363,0.097882193,0.291702047,0.0695,0.452585051,0.077276972,0.296000059,4.753546236,12.93134872,20.06905677,1.50001245,27.00533581,0.042979439,0.21460584,0.111323795,0.990746788,0.050070488,0.806606374,0.415726689,0.233007876
